ID,Rank,Team,W,L,Pyth,AdjO,AdjD,AdjT,Luck,PP0,PP1,PP2,PP3
58,197,South Florida,12,20,0.425,101.6,104.3,65.5,0.017,0.41647344,0.233503839,0.304813395,0.045209326
3084,198,Utah Valley,20,11,0.4238,102.6,105.4,62.3,0.13,0.399366026,0.243991766,0.254600104,0.102042105
2803,199,Bryant,18,14,0.4179,104.8,107.9,66.9,0.03,0.403583511,0.214144958,0.29069039,0.091581142
2210,200,Elon,18,14,0.415,103.9,107.1,66.2,0.034,0.406449549,0.211101084,0.265475606,0.116973761
2230,201,Fordham,10,21,0.415,107.8,111,68.8,-0.036,0.424667386,0.220853487,0.252403986,0.102075141
2582,202,Southern,19,13,0.4146,96.5,99.4,67.4,-0.035,0.42619053,0.201082403,0.287584067,0.085142999
2597,203,St. Francis NY,18,14,0.4125,98.7,101.8,66.8,0.007,0.478556198,0.176708673,0.232377013,0.112358116
111,204,Northeastern,11,21,0.4107,100.4,103.6,65.2,-0.047,0.421781615,0.230054075,0.274167536,0.073996774
2368,205,Marist,12,19,0.4068,102,105.4,66.4,-0.021,0.429313193,0.236016049,0.239792306,0.094878452
232,206,College of Charleston,14,18,0.4053,96.9,100.2,62.3,-0.068,0.45553944,0.192891765,0.24793286,0.103635935
2459,207,Northern Illinois,15,17,0.4015,93.3,96.6,63.2,0.019,0.419483292,0.271067719,0.243721064,0.065727925
339,208,Evansville,14,19,0.3953,102.3,106.1,67.2,0.007,0.380268957,0.269408973,0.285229969,0.065092101
71,209,Bradley,12,20,0.3924,99.8,103.7,64.3,-0.05,0.432357111,0.215127365,0.277220946,0.075294578
250,210,UT Arlington,15,17,0.3886,105.2,109.4,69.9,0.058,0.403713181,0.241302336,0.242173463,0.11281102
149,211,Montana,17,13,0.3859,106.8,111.2,61.2,0.002,0.362672731,0.263336392,0.255888494,0.118102382
322,212,Lafayette,11,20,0.3835,110.4,115,66.4,-0.061,0.416884685,0.203763333,0.268665728,0.110686255
193,213,Miami OH,13,18,0.3819,98.2,102.4,66.9,0.076,0.447540239,0.20711262,0.2755124,0.06983474
2463,214,Cal St. Northridge,17,18,0.381,106.2,110.8,69.4,0.029,0.331668907,0.309300233,0.299192383,0.059838477
2520,215,Rider,14,17,0.3797,105.5,110.1,66.9,0.041,0.388216642,0.265323728,0.235946935,0.110512695
344,216,Mississippi St.,14,19,0.379,99.5,103.8,68.4,0.032,0.430838031,0.224148729,0.277329114,0.067684126
357,217,Texas A&M Corpus Chris,17,15,0.3749,103.9,108.6,62.3,-0.002,0.443015564,0.205280346,0.262701422,0.089002668
189,218,Bowling Green,12,20,0.3741,92,96.2,66.7,-0.028,0.474083439,0.184346627,0.286403862,0.055166073
2678,219,VMI,19,12,0.3699,105.9,110.9,74.5,0.042,0.386254174,0.213458718,0.283363327,0.116923781
2261,220,Hampton,18,12,0.3694,95.8,100.4,72.2,0.013,0.409954751,0.260633484,0.254751131,0.074660633
2229,221,FIU,15,16,0.3688,100.9,105.8,67.1,0.053,0.41546483,0.223864533,0.287962498,0.072708139
2031,222,Arkansas Little Rock,15,17,0.3685,100.6,105.4,68,0.06,0.405804492,0.246546793,0.27492628,0.072722435
2458,223,Northern Colorado,18,13,0.3685,108.2,113.3,64.1,-0.011,0.371048953,0.213774077,0.324619895,0.090557074
2427,224,UNC Asheville,17,15,0.3685,106.7,111.9,71.4,0.026,0.369051698,0.261310754,0.271038058,0.098599489
2415,225,Morgan St.,15,16,0.3672,99.7,104.6,69.2,0.004,0.419028525,0.216440354,0.300738176,0.063792946
331,226,Eastern Washington,15,16,0.3655,105.5,110.6,70.8,-0.028,0.401153403,0.223760092,0.25928489,0.115801615
2934,227,Cal St. Bakersfield,13,19,0.3616,100.4,105.5,65.4,-0.089,0.424962801,0.215580368,0.255884524,0.103572307
42,228,Hartford,17,16,0.3603,101.8,107,63.5,0.028,0.44870628,0.205671328,0.220328365,0.125294027
249,229,North Texas,16,16,0.3573,99,104.2,68.7,0.047,0.424648723,0.232003638,0.273702188,0.069645451
349,230,Army,15,16,0.3571,104.6,110.1,68.8,0.016,0.432933991,0.190744656,0.265445149,0.110876204
2628,231,TCU,9,22,0.3568,97.9,103,65.8,0.007,0.431348547,0.251602817,0.246270194,0.070778442
324,232,Coastal Carolina,21,12,0.3552,97.3,102.5,67.2,0.042,0.412580142,0.22353145,0.275948709,0.087939698
